id,city,date,toss_winner,toss_decision,umpire1,umpire2,venue,winner,team1,team2,player_of_match,result_margin,result,eliminator,method,neutral_venue
980927,Wankhede,2016-04-19,Mumbai Indians,field,Anil Chaudhary,Nandan,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Rohit Sharma,6,wickets,N,,0
980931,Pune,2016-04-21,Rising Pune Supergiants,field,Chris Gaffaney,Virender Sharma,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Rising Pune Supergiants,AB de Villiers,13,runs,N,,0
980933,Delhi,2016-04-22,Mumbai Indians,field,Chettithody Shamshuddin,Sundaram Ravi,Feroz Shah Kotla,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Sanju Samson,10,runs,N,,0
980937,Rajkot,2016-04-23,Royal Challengers Bangalore,bat,Bruce Oxenford,Krishnamachari Bharatan,Saurashtra Cricket Association Stadium,Gujarat Lions,Gujarat Lions,Royal Challengers Bangalore,Virat Kohli,6,wickets,N,,0
980941,Mohali,2016-04-24,Kings XI Punjab,field,Nitin Menon,Rod Tucker,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Parthiv Patel,25,runs,N,,0
980947,Wankhede,2016-04-27,Mumbai Indians,field,Nitin Menon,Rod Tucker,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Rohit Sharma,6,wickets,N,,0
980951,Delhi,2016-04-29,Kolkata Knight Riders,field,KN Ananthapadmanabhan,Marais Erasmus,Feroz Shah Kotla,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Carlos Brathwaite,27,runs,N,,0
980953,Hyderabad (Deccan),2016-04-29,Royal Challengers Bangalore,field,Anil Chaudhary,Kumar Dharmasena,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,David Warner,15,runs,N,,0
980955,Rajkot,2016-04-30,Gujarat Lions,field,Bruce Oxenford,Virender Sharma,Saurashtra Cricket Association Stadium,Kings XI Punjab,Kings XI Punjab,Gujarat Lions,Axar Patel,23,runs,N,,0
980957,Pune,2016-04-30,Mumbai Indians,field,Anil Dandekar,Rod Tucker,Maharashtra Cricket Association Stadium,Mumbai Indians,Mumbai Indians,Rising Pune Supergiants,Rohit Sharma,8,wickets,N,,0
980959,Bengaluru,2016-05-01,Kolkata Knight Riders,field,Marais Erasmus,Sundaram Ravi,M Chinnaswamy Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Andre Russell,5,wickets,N,,0
980961,Rajkot,2016-05-02,Delhi Daredevils,field,Bruce Oxenford,Chris Gaffaney,Saurashtra Cricket Association Stadium,Delhi Daredevils,Delhi Daredevils,Gujarat Lions,Rishabh Pant,8,wickets,N,,0
980963,Kolkata,2016-05-03,Kings XI Punjab,field,Anil Chaudhary,Kumar Dharmasena,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Andre Russell,7,runs,N,,0
980967,Hyderabad (Deccan),2016-05-05,Sunrisers Hyderabad,field,Marais Erasmus,Sundaram Ravi,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Bhuvneshwar Kumar,5,wickets,N,,0
980971,Mohali,2016-05-06,Delhi Daredevils,field,Kumar Dharmasena,Nandan,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Marcus Stoinis,9,runs,N,,0
980977,Mohali,2016-05-08,Kings XI Punjab,field,Anil Chaudhary,Kumar Dharmasena,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Shane Watson,1,run,N,,0
980985,Visakhapatnam,2016-05-12,Mumbai Indians,bat,Kumar Dharmasena,Nandan,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Marcus Stoinis,7,wickets,N,,0
980987,Bengaluru,2016-05-13,Gujarat Lions,field,Anil Dandekar,Virender Sharma,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Gujarat Lions,AB de Villiers,144,runs,N,,0
981007,Kanpur,2016-05-20,Gujarat Lions,field,Anil Chaudhary,Nandan,Green Park,Gujarat Lions,Gujarat Lions,Mumbai Indians,Suresh Raina,6,wickets,N,,0
829709,Pune,2015-04-09,Kings XI Punjab,field,Chris Gaffaney,Simon Fry,Maharashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,James Faulkner,26,runs,N,,0
829713,Kolkata,2015-04-10,Royal Challengers Bangalore,field,Chettithody Shamshuddin,Sundaram Ravi,Eden Gardens,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Chris Gayle,3,wickets,N,,0
829717,Wankhede,2015-04-11,Mumbai Indians,field,Anil Chaudhary,Krishnamachari Srinivasan,Wankhede Stadium,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,George Bailey,18,runs,N,,0
829721,Ahmedabad,2015-04-13,Mumbai Indians,bat,Anil Chaudhary,Simon Fry,Sardar Patel Stadium,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Steven Smith,7,wickets,N,,0
829729,Wankhede,2015-04-16,Mumbai Indians,bat,Anil Chaudhary,Marais Erasmus,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Ashish Nehra,6,wickets,N,,0
829733,Pune,2015-04-17,Kolkata Knight Riders,field,Nandan,Simon Fry,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Andre Russell,4,wickets,N,,0
829735,Ahmedabad,2015-04-18,Chennai Super Kings,bat,Anil Chaudhary,Marais Erasmus,Sardar Patel Stadium,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Ajinkya Rahane,8,wickets,N,,0
829741,Ahmedabad,2015-04-20,Kings XI Punjab,field,Marais Erasmus,Sundaram Ravi,Sardar Patel Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Shaun Marsh,,tie,Y,one-over,0
829745,Bengaluru,2015-04-21,Royal Challengers Bangalore,field,Chettithody Shamshuddin,Johan Cloete,M Chinnaswamy Stadium,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Suresh Raina,27,runs,N,,0
829757,Delhi,2015-04-25,Royal Challengers Bangalore,field,Marais Erasmus,Sundaram Ravi,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Varun Aaron,10,wickets,N,,0
829759,Mohali,2015-04-26,Kings XI Punjab,field,Chris Gaffaney,Kumar Dharmasena,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Trent Boult,20,runs,N,,0
829765,Chennai,2015-04-27,Kolkata Knight Riders,field,Rajesh Deshpande,Vineet Kulkarni,MA Chidambaram Stadium,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Dwayne Bravo,2,runs,N,,0
829769,Wankhede,2015-04-30,Rajasthan Royals,field,Kumar Dharmasena,Nandan,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Ambati Rayudu,8,runs,N,,0
